move_name,type,category,power,accuracy,pp,makes_contact,introduced,effect,z_effect
Haze,Ice,Status,,,30,false,1,"Resets all stat changes.Z-Move effectsWhen a Pokémon is holdingIcium Zand uses its Z-Power,Hazeturns intoZ-Hazeand fully restores the user's HP, in addition to its usual effect as above.","When a Pokémon is holdingIcium Zand uses its Z-Power,Hazeturns intoZ-Hazeand fully restores the user's HP, in addition to its usual effect as above."
Oblivion Wing,Flying,Special,80,100,10,false,6,Oblivion Wingdeals damage and the user will recover 75% of the HP drained.,"When a Pokémon is holdingFlyinium Zand uses its Z-Power,Oblivion Wingturns intoSupersonic Skystrikeand has base power160."
Smelling Salts,Normal,Physical,70,100,10,true,3,"Smelling Saltsdeals damage, and hits with double power (140) if the target is paralyzed. However, it also cures the paralysis.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Smelling Saltsturns intoBreakneck Blitzand has base power140."
Sketch,Normal,Status,,,1,false,2,"Permanently copies the opponent's last move.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Sketchturns intoZ-Sketchand raises all stats one stage each, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Sketchturns intoZ-Sketchand raises all stats one stage each, in addition to its usual effect as above."
Minimize,Normal,Status,,,10,false,1,"Minimizeraises the user's Evasion by two stages, thus making the user more difficult to hit. Stats can be raised to a maximum of +6 stages each.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Minimizeturns intoZ-Minimizeand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Aerial Ace,Flying,Physical,60,,20,true,3,"Aerial Acedeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Shadow ForceorSky Drop.","When a Pokémon is holdingFlyinium Zand uses its Z-Power,Aerial Aceturns intoSupersonic Skystrikeand has base power120."
Tri Attack,Normal,Special,80,100,10,false,1,"Tri Attackdeals damage and has a 20% chance of paralyzing, burning or freezing the target - i.e. a 6.67% chance of each status condition.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Tri Attackturns intoBreakneck Blitzand has base power160."
Mortal Spin,Poison,Physical,30,100,15,true,9,"Removes entry hazards and trap move effects, and poisons opposing Pokémon.",
Ivy Cudgel,Grass,Physical,100,,,false,9,Ivy Cudgeldeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24). Its type changes based on the mask worn byOgerpon:,
Poison Jab,Poison,Physical,80,100,20,true,4,Poison Jabdeals damage and has a 30% chance of poisoning the target.,"When a Pokémon is holdingPoisonium Zand uses its Z-Power,Poison Jabturns intoAcid Downpourand has base power160."
Headlong Rush,Ground,Physical,120,100,5,true,8,"Headlong Rushdeals damage, but lowers the user's Defense and Special Defense stats by one stage each after attacking.",
Night Shade,Ghost,Special,,100,15,false,1,The damage ofNight Shadeis equal to the user's level. So at level 100 the Pokémon will inflict100 HPdamage.,"When a Pokémon is holdingGhostium Zand uses its Z-Power,Night Shadeturns intoNever-Ending Nightmareand has base power100."
Rock Wrecker,Rock,Physical,150,90,5,false,4,"User must recharge next turn.Z-Move effectsWhen a Pokémon is holdingRockium Zand uses its Z-Power,Rock Wreckerturns intoContinental Crushand has base power200.","When a Pokémon is holdingRockium Zand uses its Z-Power,Rock Wreckerturns intoContinental Crushand has base power200."
Tail Glow,Bug,Status,,,20,false,3,Tail Glowraises the user's Special Attack by three stages.,"When a Pokémon is holdingBuginium Zand uses its Z-Power,Tail Glowturns intoZ-Tail Glowand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Wood Hammer,Grass,Physical,120,100,15,true,4,"Wood Hammerdeals damage, but the user receives1⁄3of the damage it inflicted in recoil. In other words, if the attack does 90 HP damage to the opponent, the user will lose 30 HP.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Wood Hammerturns intoBloom Doomand has base power190."
Jaw Lock,Dark,Physical,80,100,10,true,8,Prevents user and opponent from switching out.,
Meteor Assault,Fighting,Physical,150,100,5,false,8,User must recharge next turn.,
Heat Wave,Fire,Special,95,90,10,false,3,Heat Wavedeals damage and has a 10% chance of burning the target.,"When a Pokémon is holdingFirium Zand uses its Z-Power,Heat Waveturns intoInferno Overdriveand has base power175."
Dive,Water,Physical,80,100,10,true,3,"The user ofDivewillhide underwateron the first turn, disappearing from view and becoming invulnerable to most attacks. On the second turn,Divedeals damage.","When a Pokémon is holdingWaterium Zand uses its Z-Power,Diveturns intoHydro Vortexand has base power160.Outside of battleWhile surfing, if you happen over a dark patch of water, you can dive below the surface and explore underwater. It can only be used with the appropriate Gym Badge.Two regions have areas where you can useDive:Hoenn(Ruby, Sapphire, Emerald, and the remakes Omega Ruby & Alpha Sapphire) andUnova(Black, White, Black 2, White 2) and the move is an HM in those games."
Techno Blast,Normal,Special,120,100,5,false,5,Techno Blastdeals damage. Its type changes depending on the held Drive:,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Techno Blastturns intoBreakneck Blitzand has base power190."
Geomancy,Fairy,Status,,,10,false,6,"Geomancycharges on the first turn. On the second turn it raises the user's Special Attack, Special Defense and Speed by two stages each.","When a Pokémon is holdingFairium Zand uses its Z-Power,Geomancyturns intoZ-Geomancyand raises all stats one stage each, in addition to its usual effect as above."
Clangorous Soul,Dragon,Status,,100,5,false,8,Raises all user's stats but loses HP.							(100% chance),
Slam,Normal,Physical,80,75,20,true,1,Slamdeals damage with no additional effect.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Slamturns intoBreakneck Blitzand has base power160."
Baneful Bunker,Poison,Status,,,10,false,7,"Baneful Bunkerprevents any attacks targeted at the user from striking, for the duration of the turn. If a contact move is targeted at theBaneful Bunkeruser on that turn, the attacker becomes poisoned. It has priority +4 so will activate before most other moves.","When a Pokémon is holdingPoisonium Zand uses its Z-Power,Baneful Bunkerturns intoZ-Baneful Bunkerand raises Defense one stage, in addition to its usual effect as above."
Liquidation,Water,Physical,85,100,10,true,7,"May lower opponent's Defense.							(20% chance)Z-Move effectsWhen a Pokémon is holdingWaterium Zand uses its Z-Power,Liquidationturns intoHydro Vortexand has base power160.","When a Pokémon is holdingWaterium Zand uses its Z-Power,Liquidationturns intoHydro Vortexand has base power160."
Flip Turn,Water,Physical,60,100,20,true,8,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",
Drum Beating,Grass,Physical,80,100,10,false,8,Lowers opponent's Speed.							(100% chance),
Close Combat,Fighting,Physical,120,100,5,true,4,Close Combatdeals damage but lowers the user's Defense and Special Defense by one stage each after attacking.,"When a Pokémon is holdingFightinium Zand uses its Z-Power,Close Combatturns intoAll-Out Pummelingand has base power190."
Spirit Shackle,Ghost,Physical,80,100,10,false,7,"Spirit Shackledeals damage and prevents the target from switching out, while the user remains in battle.","When a Pokémon is holdingGhostium Zand uses its Z-Power,Spirit Shackleturns intoNever-Ending Nightmareand has base power160.When Decidueye is holdingDecidium Zand uses its Z-Power,Spirit Shackleturns intoSinister Arrow Raidand has base power180."
Charge,Electric,Status,,,20,false,3,"Chargeraises the user's Special Defense by one stage, and if this Pokémon's next move is a damage-dealing Electric-type attack, it will deal double damage.","When a Pokémon is holdingElectrium Zand uses its Z-Power,Chargeturns intoZ-Chargeand raises Special Defense one stage, in addition to its usual effect as above."
Fell Stinger,Bug,Physical,50,100,25,true,6,"Fell Stingerdeals damage, and if the target is knocked out by this move, the user's Attack is raised by three stages.","When a Pokémon is holdingBuginium Zand uses its Z-Power,Fell Stingerturns intoSavage Spin-Outand has base power100."
Frost Breath,Ice,Special,60,90,10,false,5,"Frost Breathdeals damage and always results in a critical hit, increasing its power to90.","When a Pokémon is holdingIcium Zand uses its Z-Power,Frost Breathturns intoSubzero Slammerand has base power120."
Grass Pledge,Grass,Special,80,100,10,false,5,"Grass Pledgedeals damage at base power80. If a teammate usesFire PledgeorWater Pledgein the same turn, the moves combine into one attack of base power160and added effects appear.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Grass Pledgeturns intoBloom Doomand has base power160."
Poison Powder,Poison,Status,,75,35,false,1,Poison Powdercauses the target to become poisoned. Poisoned Pokémon lose1⁄8of their maximum HP each turn.,"When a Pokémon is holdingPoisonium Zand uses its Z-Power,Poison Powderturns intoZ-Poison Powderand raises Defense one stage, in addition to its usual effect as above."
Iron Tail,Steel,Physical,100,75,15,true,2,Iron Taildeals damage and has a 30% chance of lowering the target's Defense by one stage.,"When a Pokémon is holdingSteelium Zand uses its Z-Power,Iron Tailturns intoCorkscrew Crashand has base power180."
Body Slam,Normal,Physical,85,100,15,true,1,Body Slamdeals damage and has a 30% chance of paralyzing the target.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Body Slamturns intoBreakneck Blitzand has base power160."
SonicBoom,Normal,Special,,90,20,false,1,"Sonic Boomalways deals 20 HP damage to the target, regardless of typing (althoughGhosttype Pokémon are still immune). It has no additional effect.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Sonic Boomturns intoBreakneck Blitzand has base power100."
Fling,Dark,Physical,,100,10,false,4,"Power depends on held item.Z-Move effectsWhen a Pokémon is holdingDarkinium Zand uses its Z-Power,Flingturns intoBlack Hole Eclipseand has base power100.","When a Pokémon is holdingDarkinium Zand uses its Z-Power,Flingturns intoBlack Hole Eclipseand has base power100."
Spore,Grass,Status,,100,15,false,1,Sporeputs the target to sleep. Sleeping Pokémon cannot move (with some exceptions such asSnore). Sleep lasts for 1-3 turns.,"When a Pokémon is holdingGrassium Zand uses its Z-Power,Sporeturns intoZ-Sporeand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Razor Leaf,Grass,Physical,55,95,25,false,1,Razor Leafdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,"When a Pokémon is holdingGrassium Zand uses its Z-Power,Razor Leafturns intoBloom Doomand has base power100."
Final Gambit,Fighting,Special,,100,5,false,5,"Inflicts damage equal to the user's remaining HP. User faints.Z-Move effectsWhen a Pokémon is holdingFightinium Zand uses its Z-Power,Final Gambitturns intoAll-Out Pummelingand has base power180.","When a Pokémon is holdingFightinium Zand uses its Z-Power,Final Gambitturns intoAll-Out Pummelingand has base power180."
Steel Roller,Steel,Physical,130,100,5,true,8,The user attacks while destroying the terrain. This move fails when the ground hasn’t turned into a terrain.,
Heart Stamp,Psychic,Physical,60,100,25,true,5,Heart Stampdeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,"When a Pokémon is holdingPsychium Zand uses its Z-Power,Heart Stampturns intoShattered Psycheand has base power120."
Psystrike,Psychic,Special,100,100,10,false,5,"Inflicts damage based on the target's Defense, not Special Defense.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Psystriketurns intoShattered Psycheand has base power180.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Psystriketurns intoShattered Psycheand has base power180."
Magnitude,Ground,Physical,,100,30,false,2,"The base power ofMagnitudeis one of 7 random values, with varying probability, as shown in the table.","When a Pokémon is holdingGroundium Zand uses its Z-Power,Magnitudeturns intoTectonic Rageand has base power140."
Spotlight,Normal,Status,,,15,false,7,"The user shines a spotlight on the target so that only the target will be attacked during the turn.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Spotlightturns intoZ-Spotlightand raises Special Defense one stage, in addition to its usual effect as above.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Spotlightturns intoZ-Spotlightand raises Special Defense one stage, in addition to its usual effect as above."
Power Trip,Dark,Physical,20,100,10,true,7,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.Z-Move effectsWhen a Pokémon is holdingDarkinium Zand uses its Z-Power,Power Tripturns intoBlack Hole Eclipseand has base power160.","When a Pokémon is holdingDarkinium Zand uses its Z-Power,Power Tripturns intoBlack Hole Eclipseand has base power160."
Sonic Boom,Normal,Special,,90,20,false,1,"Sonic Boomalways deals 20 HP damage to the target, regardless of typing (althoughGhosttype Pokémon are still immune). It has no additional effect.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Sonic Boomturns intoBreakneck Blitzand has base power100."
Synchronoise,Psychic,Special,120,100,10,false,5,"Synchronoisehits all adjacent Pokémon that share a type with the user. Dual type Pokémon match either of their types, so for example a Normal/Flying Pokémon usingSynchronoisewill hit a Flying/Dragon type.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Synchronoiseturns intoShattered Psycheand has base power190."
Psyshield Bash,Psychic,Physical,70,90,10,true,8,Psyshield Bashdeals damage and raises the user's Defense by one stage.,
Aqua Ring,Water,Status,,,20,false,4,"The user ofAqua Ringsurrounds itself with a veil of water,which restores1⁄16of its maximum HP at the end of each turn.","When a Pokémon is holdingWaterium Zand uses its Z-Power,Aqua Ringturns intoZ-Aqua Ringand raises Defense one stage, in addition to its usual effect as above."
Hone Claws,Dark,Status,,,15,false,5,Hone Clawsraises the user's Attack and Accuracy by one stage each.,"When a Pokémon is holdingDarkinium Zand uses its Z-Power,Hone Clawsturns intoZ-Hone Clawsand raises Attack one stage, in addition to its usual effect as above."
Rock Blast,Rock,Physical,25,90,10,false,3,"Rock Blasthits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.","When a Pokémon is holdingRockium Zand uses its Z-Power,Rock Blastturns intoContinental Crushand has base power140."
Conversion 2,Normal,Status,,,30,false,2,"Conversion 2changes the user's type to one that is resistant (or immune) to the last move used by the target, randomly.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Conversion 2turns intoZ-Conversion 2and fully restores the user's HP, in addition to its usual effect as above."
Lunar Blessing,Psychic,Status,,,5,false,8,"Lunar Blessingheals all status conditions of the user and its teammates, and restores 25% of their maximum HP.",
Parting Shot,Dark,Status,,100,20,false,6,"Parting Shotlowers the opponent's Attack and Special Attack by one stage each, then the user switches out of battle.","When a Pokémon is holdingDarkinium Zand uses its Z-Power,Parting Shotturns intoZ-Parting Shotand fully restores the HP of the Pokémon switching in, in addition to its usual effect as above."
Accelerock,Rock,Physical,40,100,20,true,7,Accelerockdeals damage and has high priority.,"When a Pokémon is holdingRockium Zand uses its Z-Power,Accelerockturns intoContinental Crushand has base power100."
Blizzard,Ice,Special,110,70,5,false,1,Blizzarddeals damage and has a 10% chance of freezing the target. It will hit both opponents in a double battle or adjacent opponents in a triple battle.,"When a Pokémon is holdingIcium Zand uses its Z-Power,Blizzardturns intoSubzero Slammerand has base power185."
Electric Terrain,Electric,Status,,,10,false,6,"Electric Terraincreates a low-lying electric field lasting 5 turns, that prevents grounded Pokémon from falling asleep. The power ofElectrictype moves also increases by 50% while in effect.","When a Pokémon is holdingElectrium Zand uses its Z-Power,Electric Terrainturns intoZ-Electric Terrainand raises Speed one stage, in addition to its usual effect as above."
Gust,Flying,Special,40,100,35,false,1,"Gustdeals damage and can hit Pokémon during the invulnerable stage ofBounce,FlyorSky Drop- in which case the power is doubled.","When a Pokémon is holdingFlyinium Zand uses its Z-Power,Gustturns intoSupersonic Skystrikeand has base power100."
Magic Coat,Psychic,Status,,,15,false,3,Magic Coatreflects any move causing status conditions - for exampleThunder WaveorToxic- back to the attacker. It applies only to the turn it is used.,"When a Pokémon is holdingPsychium Zand uses its Z-Power,Magic Coatturns intoZ-Magic Coatand raises Special Defense two stages, in addition to its usual effect as above."
Leech Seed,Grass,Status,,90,10,false,1,"Leech Seedplants a seed on the target that drains1⁄8of its maximum HP at the end of each turn and restores it to the user, or any Pokémon that takes its place. It does not work onGrass-type Pokémon; it does technically work against Pokémon with theMagic Guardability, but no HP will be sapped.","When a Pokémon is holdingGrassium Zand uses its Z-Power,Leech Seedturns intoZ-Leech Seedand eliminates any stat drops applied to the user, in addition to its usual effect as above."
Secret Sword,Fighting,Special,85,100,10,false,5,"Inflicts damage based on the target's Defense, not Special Defense.Z-Move effectsWhen a Pokémon is holdingFightinium Zand uses its Z-Power,Secret Swordturns intoAll-Out Pummelingand has base power160.","When a Pokémon is holdingFightinium Zand uses its Z-Power,Secret Swordturns intoAll-Out Pummelingand has base power160."
Lovely Kiss,Normal,Status,,75,10,false,1,"Lovely Kissputs the target to sleep, if it hits. Sleeping Pokémon cannot move (with some exceptions such asSnore). Sleep lasts for 1-3 turns.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Lovely Kissturns intoZ-Lovely Kissand raises Speed one stage, in addition to its usual effect as above."
Snap Trap,Grass,Physical,35,100,15,true,8,"Traps opponent, damaging them for 4-5 turns.							(100% chance)",
Whirlwind,Normal,Status,,,20,false,1,"In the wild,Whirlwindblows the target Pokémon away if they are of a lower level, and the battle ends.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Whirlwindturns intoZ-Whirlwindand raises Special Defense one stage, in addition to its usual effect as above."
After You,Normal,Status,,,15,false,5,After Youforces the target to attack first in the next turn. It can be targeted at opponents or team-mates.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,After Youturns intoZ-After Youand raises Speed one stage, in addition to its usual effect as above."
Nuzzle,Electric,Physical,20,100,20,true,6,"Nuzzledeals damage and paralyzes the target. Paralyzed Pokémon have a 25% chance of not being able to attack, and their Speed is decreased by 50% (75% inGenerations 1-6).","When a Pokémon is holdingElectrium Zand uses its Z-Power,Nuzzleturns intoGigavolt Havocand has base power100."
Meteor Mash,Steel,Physical,90,90,10,true,3,Meteor Mashdeals damage and has a 20% chance of raising the user's Attack by one stage.,"When a Pokémon is holdingSteelium Zand uses its Z-Power,Meteor Mashturns intoCorkscrew Crashand has base power175."
Decorate,Fairy,Status,,,15,false,8,Sharply raises target's Attack and Special Attack.							(100% chance),
Detect,Fighting,Status,,,5,false,2,"Detectprevents any attacks targeted at the user from striking, for the duration of the turn. It has priority +4 so will activate before most other moves. The move functions identically toProtect.","When a Pokémon is holdingFightinium Zand uses its Z-Power,Detectturns intoZ-Detectand raises Evasiveness one stage, in addition to its usual effect as above."
Gunk Shot,Poison,Physical,120,80,5,false,4,Gunk Shotdeals damage and has a 30% chance of poisoning the target.,"When a Pokémon is holdingPoisonium Zand uses its Z-Power,Gunk Shotturns intoAcid Downpourand has base power190."
Super Fang,Normal,Physical,,90,10,true,1,"Always takes off half of the opponent's HP.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Super Fangturns intoBreakneck Blitzand has base power100.","When a Pokémon is holdingNormalium Zand uses its Z-Power,Super Fangturns intoBreakneck Blitzand has base power100."
Leaf Tornado,Grass,Special,65,90,10,false,5,Leaf Tornadodeals damage and has a 30% chance of lowering the target's Accuracy by one stage.,"When a Pokémon is holdingGrassium Zand uses its Z-Power,Leaf Tornadoturns intoBloom Doomand has base power120."
Poison Gas,Poison,Status,,90,40,false,1,Poison Gascauses the target to become poisoned. Poisoned Pokémon lose1⁄8of their maximum HP each turn.,"When a Pokémon is holdingPoisonium Zand uses its Z-Power,Poison Gasturns intoZ-Poison Gasand raises Defense one stage, in addition to its usual effect as above."
Collision Course,Fighting,Physical,100,100,5,true,9,Boosted even more if it's super-effective.,
Hydro Pump,Water,Special,110,80,5,false,1,Hydro Pumpdeals damage with no additional effect.,"When a Pokémon is holdingWaterium Zand uses its Z-Power,Hydro Pumpturns intoHydro Vortexand has base power185."
Apple Acid,Grass,Special,80,100,10,false,8,Lowers target's Special Defense.							(100% chance),
Wildbolt Storm,Electric,Special,100,80,10,false,8,Wildbolt Stormdeals damage and has a 20% chance of paralyzing the target. The move targets both opponents in a double battle (each with a 20% chance of paralysis).,
Coil,Poison,Status,,,20,false,5,"Coilraises the user's Attack, Defense and Accuracy by one stage each.","When a Pokémon is holdingPoisonium Zand uses its Z-Power,Coilturns intoZ-Coiland eliminates any stat drops applied to the user, in addition to its usual effect as above."
Hyperspace Hole,Psychic,Special,80,,5,false,6,"Hyperspace Holedeals damage and always hits, even if the target used aProtect-like move.","When a Pokémon is holdingPsychium Zand uses its Z-Power,Hyperspace Holeturns intoShattered Psycheand has base power160."
Strength,Normal,Physical,80,100,15,true,1,Strengthdeals damage with no additional effect in battle.,"When a Pokémon is holdingNormalium Zand uses its Z-Power,Strengthturns intoBreakneck Blitzand has base power160.Outside of battleStrengthis used to move large boulders in the field. Boulders can only be pushed, not pulled. It can only be used with the appropriate Gym Badge.FromGeneration 5onwards, boulders moved byStrengthare often used to create shortcuts through caves and routes."
Supercell Slam,Electric,Physical,100,95,15,false,9,"The user electrifies its body and drops onto the target to inflict damage. If this move misses, the user takes damage instead.",
